0: All Prices,1: 0 to 2500,2: 2500 to 5000 yen,"3: 5000 to 10,000 yen","4: 10,000 to 15,000 yen","5: 15,000 to 20,000 yen","6: 20,000 to 30,000 yen","7: 30,000 to 50,000 yen","8: 50,000 to 100,000 yen","9: 100,000 to 200,000 yen"
价格 (price) : 1838,一般 (general) : 0,一般 (general) : 0,价格 (price) : 31,价格 (price) : 98,价格 (price) : 296,一般 (general) : 504,价格 (price) : 326,价格 (price) : 561,价格 (price) : 54
一般 (general) : 1713,一般 东西 (General stuff) : 0,一般 东西 (General stuff) : 0,一般 (general) : 28,一般 (general) : 91,一般 (general) : 218,价格 (price) : 472,一般 (general) : 311,一般 (general) : 510,一般 (general) : 51
中文 (Chinese) : 733,一般 交通 (General traffic) : 0,一般 交通 (General traffic) : 0,距离 (distance) : 11,距离 (distance) : 43,地理 (geography) : 125,地理 (geography) : 164,地理 (geography) : 110,中文 (Chinese) : 337,中文 (Chinese) : 19
地理 (geography) : 691,一般 人 (normal person) : 0,一般 人 (normal person) : 0,地理 (geography) : 10,陈旧 (obsolete) : 34,中文 (Chinese) : 93,中文 (Chinese) : 155,中文 (Chinese) : 94,地理 (geography) : 239,距离 (distance) : 15
距离 (distance) : 434,一般 价格 (General price) : 0,一般 价格 (General price) : 0,中文 (Chinese) : 9,地理 (geography) : 31,距离 (distance) : 84,距离 (distance) : 116,陈旧 (obsolete) : 71,老 (old) : 134,地理 (geography) : 12
陈旧 (obsolete) : 319,一般 位置 (General location) : 0,一般 位置 (General location) : 0,一般 设施 (General facilities) : 5,老 (old) : 30,陈旧 (obsolete) : 43,陈旧 (obsolete) : 75,距离 (distance) : 68,距离 (distance) : 97,一般 服务 (General service) : 7
老 (old) : 297,一般 卫生 (General hygiene) : 0,一般 卫生 (General hygiene) : 0,一般 早餐 (Average breakfast) : 3,中文 (Chinese) : 26,老 (old) : 26,老 (old) : 55,老 (old) : 45,陈旧 (obsolete) : 90,陈旧 (obsolete) : 6
陈旧 设施 (Obsolete facilities) : 184,一般 印象 (General impression) : 0,一般 印象 (General impression) : 0,一般 味道 (General taste) : 2,陈旧 设施 (Obsolete facilities) : 17,陈旧 设施 (Obsolete facilities) : 25,一般 设施 (General facilities) : 42,陈旧 设施 (Obsolete facilities) : 43,陈旧 设施 (Obsolete facilities) : 53,一般 早餐 (Average breakfast) : 5
一般 设施 (General facilities) : 137,一般 口味 (General taste) : 0,一般 口味 (General taste) : 0,一般 效果 (General effect) : 2,一般 设施 (General facilities) : 10,一般 设施 (General facilities) : 23,陈旧 设施 (Obsolete facilities) : 42,一般 设施 (General facilities) : 23,一般 服务 (General service) : 39,老 (old) : 5
一般 服务 (General service) : 115,一般 口感 (General taste) : 0,一般 口感 (General taste) : 0,一般 服务 (General service) : 2,一般 位置 (General location) : 8,一般 酒店 (Average hotel) : 21,一般 酒店 (Average hotel) : 37,一般 服务 (General service) : 22,老 酒店 (Old hotel) : 34,陈旧 设施 (Obsolete facilities) : 4
一般 酒店 (Average hotel) : 106,一般 味道 (General taste) : 0,一般 味道 (General taste) : 0,没有 中文 (no Chinese) : 2,老 酒店 (Old hotel) : 8,一般 早餐 (Average breakfast) : 14,一般 服务 (General service) : 34,一般 早餐 (Average breakfast) : 19,一般 设施 (General facilities) : 32,没有 中文 (no Chinese) : 3
一般 早餐 (Average breakfast) : 97,一般 品牌 (General brand) : 0,一般 品牌 (General brand) : 0,老 (old) : 2,老 设施 (Old facility) : 7,老 酒店 (Old hotel) : 11,一般 早餐 (Average breakfast) : 21,一般 酒店 (Average hotel) : 15,一般 早餐 (Average breakfast) : 30,一般 位置 (General location) : 2
老 酒店 (Old hotel) : 74,一般 品种 (General variety) : 0,一般 品种 (General variety) : 0,一般 东西 (General stuff) : 0,一般 酒店 (Average hotel) : 6,一般 卫生 (General hygiene) : 8,一般 性价比 (Average value for money) : 17,老 酒店 (Old hotel) : 11,老 设施 (Old facility) : 26,一般 房间 (Average room) : 2
老 设施 (Old facility) : 58,一般 地方 (General place) : 0,一般 地方 (General place) : 0,一般 交通 (General traffic) : 0,一般 早餐 (Average breakfast) : 5,一般 环境 (General environment) : 8,一般 态度 (General attitude) : 14,一般 性价比 (Average value for money) : 9,一般 酒店 (Average hotel) : 25,一般 设施 (General facilities) : 2
一般 性价比 (Average value for money) : 44,一般 地段 (General location) : 0,一般 地段 (General location) : 0,一般 人 (normal person) : 0,一般 服务 (General service) : 4,一般 服务 (General service) : 7,一般 位置 (General location) : 12,一般 房间 (Average room) : 9,一般 房间 (Average room) : 13,一般 酒店 (Average hotel) : 2
一般 位置 (General location) : 42,一般 地点 (General location) : 0,一般 地点 (General location) : 0,一般 价格 (General price) : 0,陈旧 点 (Stale point) : 4,老 设施 (Old facility) : 7,一般 环境 (General environment) : 12,一般 装修 (General decoration) : 8,一般 态度 (General attitude) : 12,老 设施 (Old facility) : 2
一般 环境 (General environment) : 40,一般 大小 (General size) : 0,一般 大小 (General size) : 0,一般 位置 (General location) : 0,一般 感觉 (General feeling) : 3,一般 位置 (General location) : 6,一般 卫生 (General hygiene) : 9,没有 中文 (no Chinese) : 8,一般 性价比 (Average value for money) : 12,一般 东西 (General stuff) : 0
一般 态度 (General attitude) : 39,一般 宵夜 (Average supper) : 0,一般 宵夜 (Average supper) : 0,一般 卫生 (General hygiene) : 0,一般 环境 (General environment) : 3,一般 态度 (General attitude) : 5,一般 房间 (Average room) : 9,一般 环境 (General environment) : 7,没有 中文 (no Chinese) : 9,一般 交通 (General traffic) : 0
一般 房间 (Average room) : 37,一般 宾馆 (General Hotel) : 0,一般 宾馆 (General Hotel) : 0,一般 印象 (General impression) : 0,老 建筑 (Old building) : 3,一般 感觉 (General feeling) : 4,老 酒店 (Old hotel) : 9,老 设施 (Old facility) : 7,老 装修 (Old decoration) : 9,一般 人 (normal person) : 0
一般 卫生 (General hygiene) : 30,一般 态度 (General attitude) : 0,一般 态度 (General attitude) : 0,一般 口味 (General taste) : 0,一般 味道 (General taste) : 2,没有 中文 (no Chinese) : 4,一般 味道 (General taste) : 8,一般 位置 (General location) : 6,一般 位置 (General location) : 8,一般 价格 (General price) : 0
没有 中文 (no Chinese) : 30,一般 性价比 (Average value for money) : 0,一般 性价比 (Average value for money) : 0,一般 口感 (General taste) : 0,一般 态度 (General attitude) : 2,一般 性价比 (Average value for money) : 3,老 设施 (Old facility) : 8,一般 卫生 (General hygiene) : 6,一般 感觉 (General feeling) : 8,一般 卫生 (General hygiene) : 0
一般 感觉 (General feeling) : 24,一般 总体 (General overall) : 0,一般 总体 (General overall) : 0,一般 品牌 (General brand) : 0,一般 性价比 (Average value for money) : 2,一般 条件 (General condition) : 3,陈旧 设备 (Obsolete equipment) : 7,一般 态度 (General attitude) : 6,一般 环境 (General environment) : 8,一般 印象 (General impression) : 0
一般 味道 (General taste) : 22,一般 情况 (generally) : 0,一般 情况 (generally) : 0,一般 品种 (General variety) : 0,一般 总体 (General overall) : 2,华人 (Chinese) : 3,不 中文 (No Chinese) : 6,一般 英语 (General English) : 5,华人 (Chinese) : 8,一般 口味 (General taste) : 0
一般 条件 (General condition) : 18,一般 感觉 (General feeling) : 0,一般 感觉 (General feeling) : 0,一般 地方 (General place) : 0,陈旧 家具 (Obsolete furniture) : 2,陈旧 设备 (Obsolete equipment) : 3,一般 大小 (General size) : 5,陈旧 设备 (Obsolete equipment) : 5,一般 大小 (General size) : 7,一般 口感 (General taste) : 0
陈旧 设备 (Obsolete equipment) : 18,一般 房间 (Average room) : 0,一般 房间 (Average room) : 0,一般 地段 (General location) : 0,陈旧 设备 (Obsolete equipment) : 2,一般 情况 (generally) : 2,一般 感觉 (General feeling) : 5,一般 东西 (General stuff) : 4,一般 温泉 (General hot spring) : 7,一般 味道 (General taste) : 0
一般 装修 (General decoration) : 15,一般 效果 (General effect) : 0,一般 效果 (General effect) : 0,一般 地点 (General location) : 0,陈旧 酒店 (Outdated hotel) : 2,一般 房间 (Average room) : 2,一般 条件 (General condition) : 5,一般 味道 (General taste) : 4,老 店 (Old shop) : 7,一般 品牌 (General brand) : 0
不 中文 (No Chinese) : 15,一般 方面 (General aspect) : 0,一般 方面 (General aspect) : 0,一般 大小 (General size) : 0,一般 东西 (General stuff) : 0,一般 种类 (General type) : 2,没有 中文 (no Chinese) : 4,一般 感觉 (General feeling) : 4,老 酒 (Old wine) : 7,一般 品种 (General variety) : 0
华人 (Chinese) : 15,一般 旅馆 (General Hotel) : 0,一般 旅馆 (General Hotel) : 0,一般 宵夜 (Average supper) : 0,一般 交通 (General traffic) : 0,一般 英语 (General English) : 2,一般 价格 (General price) : 3,不 中文 (No Chinese) : 4,一般 自助餐 (Average buffet) : 6,一般 地方 (General place) : 0
老 店 (Old shop) : 15,一般 早餐 (Average breakfast) : 0,一般 早餐 (Average breakfast) : 0,一般 宾馆 (General Hotel) : 0,一般 人 (normal person) : 0,一般 隔音 (Soundproof) : 2,一般 早饭 (Average breakfast) : 3,没有 陈旧 (Not stale) : 4,一般 卫生 (General hygiene) : 5,一般 地段 (General location) : 0
一般 大小 (General size) : 12,一般 早饭 (Average breakfast) : 0,一般 早饭 (Average breakfast) : 0,一般 态度 (General attitude) : 0,一般 价格 (General price) : 0,一般 需求 (General demand) : 2,一般 水平 (The general level) : 3,一般 条件 (General condition) : 3,一般 味道 (General taste) : 5,一般 地点 (General location) : 0
一般 英语 (General English) : 11,一般 晚餐 (Average dinner) : 0,一般 晚餐 (Average dinner) : 0,一般 性价比 (Average value for money) : 0,一般 卫生 (General hygiene) : 0,老 外观 (Old appearance) : 2,一般 用品 (General supplies) : 3,一般 温泉 (General hot spring) : 3,一般 条件 (General condition) : 5,一般 大小 (General size) : 0
没有 陈旧 (Not stale) : 11,一般 景色 (General scenery) : 0,一般 景色 (General scenery) : 0,一般 总体 (General overall) : 0,一般 印象 (General impression) : 0,陈旧 酒店 (Outdated hotel) : 2,一般 英语 (General English) : 3,老 店 (Old shop) : 3,一般 沙滩 (Average beach) : 5,一般 宵夜 (Average supper) : 0
老 装修 (Old decoration) : 11,一般 景观 (General landscape) : 0,一般 景观 (General landscape) : 0,一般 情况 (generally) : 0,一般 口味 (General taste) : 0,一般 东西 (General stuff) : 0,一般 隔音 (Soundproof) : 3,陈旧 房间 (Outdated room) : 3,一般 装修 (General decoration) : 5,一般 宾馆 (General Hotel) : 0
老 酒 (Old wine) : 11,一般 服务 (General service) : 0,一般 服务 (General service) : 0,一般 感觉 (General feeling) : 0,一般 口感 (General taste) : 0,一般 交通 (General traffic) : 0,老 店 (Old shop) : 3,一般 口味 (General taste) : 2,陈旧 房间 (Outdated room) : 5,一般 态度 (General attitude) : 0
一般 温泉 (General hot spring) : 10,一般 条件 (General condition) : 0,一般 条件 (General condition) : 0,一般 房间 (Average room) : 0,一般 品牌 (General brand) : 0,一般 人 (normal person) : 0,老 房间 (Old room) : 3,一般 地段 (General location) : 2,一般 品种 (General variety) : 4,一般 性价比 (Average value for money) : 0
陈旧 房间 (Outdated room) : 10,一般 水平 (The general level) : 0,一般 水平 (The general level) : 0,一般 方面 (General aspect) : 0,一般 品种 (General variety) : 0,一般 价格 (General price) : 0,老 楼 (Old building) : 3,一般 景色 (General scenery) : 2,一般 质量 (General quality) : 4,一般 总体 (General overall) : 0
陈旧 酒店 (Outdated hotel) : 10,一般 水质 (General water quality) : 0,一般 水质 (General water quality) : 0,一般 旅馆 (General Hotel) : 0,一般 地方 (General place) : 0,一般 印象 (General impression) : 0,陈旧 装修 (Old decoration) : 3,一般 水质 (General water quality) : 2,一般 餐厅 (Average restaurant) : 4,一般 情况 (generally) : 0
一般 隔音 (Soundproof) : 9,一般 沙滩 (Average beach) : 0,一般 沙滩 (Average beach) : 0,一般 早饭 (Average breakfast) : 0,一般 地段 (General location) : 0,一般 口味 (General taste) : 0,一般 品牌 (General brand) : 2,一般 沙滩 (Average beach) : 2,没有 价格 (No price) : 4,一般 感觉 (General feeling) : 0
老 房间 (Old room) : 9,一般 温泉 (General hot spring) : 0,一般 温泉 (General hot spring) : 0,一般 晚餐 (Average dinner) : 0,一般 地点 (General location) : 0,一般 口感 (General taste) : 0,一般 宵夜 (Average supper) : 2,一般 选择 (General choice) : 2,没有 陈旧 (Not stale) : 4,一般 效果 (General effect) : 0
老 楼 (Old building) : 9,一般 状况 (General condition) : 0,一般 状况 (General condition) : 0,一般 景色 (General scenery) : 0,一般 大小 (General size) : 0,一般 味道 (General taste) : 0,一般 方面 (General aspect) : 2,一般 食物 (General food) : 2,老 楼 (Old building) : 4,一般 方面 (General aspect) : 0
陈旧 点 (Stale point) : 8,一般 环境 (General environment) : 0,一般 环境 (General environment) : 0,一般 景观 (General landscape) : 0,一般 宵夜 (Average supper) : 0,一般 品牌 (General brand) : 0,一般 程度 (Average) : 2,华人 (Chinese) : 2,一般 晚餐 (Average dinner) : 3,一般 旅馆 (General Hotel) : 0
一般 价格 (General price) : 7,一般 用品 (General supplies) : 0,一般 用品 (General supplies) : 0,一般 条件 (General condition) : 0,一般 宾馆 (General Hotel) : 0,一般 品种 (General variety) : 0,一般 空气 (General air) : 2,老 房间 (Old room) : 2,一般 程度 (Average) : 3,一般 早饭 (Average breakfast) : 0
一般 沙滩 (Average beach) : 7,一般 硬件 (General hardware) : 0,一般 硬件 (General hardware) : 0,一般 水平 (The general level) : 0,一般 情况 (generally) : 0,一般 地方 (General place) : 0,一般 面积 (General area) : 2,老 楼 (Old building) : 2,不 中文 (No Chinese) : 3,一般 晚餐 (Average dinner) : 0
一般 东西 (General stuff) : 6,一般 种类 (General type) : 0,一般 种类 (General type) : 0,一般 水质 (General water quality) : 0,一般 房间 (Average room) : 0,一般 地段 (General location) : 0,华人 (Chinese) : 2,陈旧 酒店 (Outdated hotel) : 2,老 房间 (Old room) : 3,一般 景色 (General scenery) : 0
一般 口味 (General taste) : 6,一般 程度 (Average) : 0,一般 程度 (Average) : 0,一般 沙滩 (Average beach) : 0,一般 效果 (General effect) : 0,一般 地点 (General location) : 0,老 烟鬼 (Old smoker) : 2,一般 交通 (General traffic) : 0,一般 东西 (General stuff) : 2,一般 景观 (General landscape) : 0
一般 效果 (General effect) : 6,一般 空气 (General air) : 0,一般 空气 (General air) : 0,一般 温泉 (General hot spring) : 0,一般 方面 (General aspect) : 0,一般 大小 (General size) : 0,赤坂 (Akasaka) : 2,一般 人 (normal person) : 0,一般 价格 (General price) : 2,一般 条件 (General condition) : 0
一般 早饭 (Average breakfast) : 6,一般 空间 (General space) : 0,一般 空间 (General space) : 0,一般 状况 (General condition) : 0,一般 旅馆 (General Hotel) : 0,一般 宵夜 (Average supper) : 0,陈旧 酒店 (Outdated hotel) : 2,一般 价格 (General price) : 0,一般 口感 (General taste) : 2,一般 水平 (The general level) : 0
一般 自助餐 (Average buffet) : 6,一般 缺点 (General disadvantages) : 0,一般 缺点 (General disadvantages) : 0,一般 环境 (General environment) : 0,一般 早饭 (Average breakfast) : 0,一般 宾馆 (General Hotel) : 0,一般 东西 (General stuff) : 0,一般 印象 (General impression) : 0,一般 方面 (General aspect) : 2,一般 水质 (General water quality) : 0
一般 设备 (General equipment) : 6,一般 网速 (General Internet speed) : 0,一般 网速 (General Internet speed) : 0,一般 用品 (General supplies) : 0,一般 晚餐 (Average dinner) : 0,一般 总体 (General overall) : 0,一般 交通 (General traffic) : 0,一般 口感 (General taste) : 0,一般 景色 (General scenery) : 2,一般 沙滩 (Average beach) : 0
一般 质量 (General quality) : 6,一般 自助餐 (Average buffet) : 0,一般 自助餐 (Average buffet) : 0,一般 硬件 (General hardware) : 0,一般 景色 (General scenery) : 0,一般 效果 (General effect) : 0,一般 人 (normal person) : 0,一般 品牌 (General brand) : 0,一般 状况 (General condition) : 2,一般 温泉 (General hot spring) : 0
